wavenumber_cm1,transmittance
3074.6987951807228,0.17476153
3089.156626506024,0.16963752
3103.6144578313256,0.16100392
3118.0722891566265,0.14016674
3132.530120481928,0.14175889
3146.987951807229,0.15907463
3161.4457831325303,0.14296822
3175.9036144578313,0.17040782
3190.3614457831327,0.1412736
3204.8192771084337,0.14538626
3219.277108433735,0.15401532
3233.734939759036,0.14651479
3248.1927710843374,0.15862904
3262.650602409639,0.16295859
3277.10843373494,0.1492309
3291.566265060241,0.15168068
3306.024096385542,0.13566872
3320.4819277108436,0.1418793
3334.9397590361446,0.15329032
3349.397590361446,0.17484705
3363.855421686747,0.16867831
3378.3132530120483,0.16191109
3392.7710843373493,0.1417079
3407.2289156626507,0.17236033
3421.6867469879517,0.15975721
3436.144578313253,0.15345639
3450.6024096385545,0.18124726
3465.0602409638554,0.1633347
3479.518072289157,0.1504049
3493.975903614458,0.17791843
3508.4337349397592,0.15637046
3522.89156626506,0.16274352
3537.3493975903616,0.17367435
3551.8072289156626,0.16163681
3566.265060240964,0.18157482
3580.722891566265,0.18540183
3595.1807228915663,0.18235135
3609.6385542168678,0.15512471
3624.0963855421687,0.16622268
3638.55421686747,0.1734787
3653.012048192771,0.16846572
3667.4698795180725,0.17360929
3681.9277108433735,0.17554024
3696.385542168675,0.15541597
3710.843373493976,0.14967278
3725.3012048192772,0.16396819
3739.759036144578,0.16133407
3754.2168674698796,0.16129251
3768.674698795181,0.1566665
3783.132530120482,0.1687171
3797.5903614457834,0.16450562
3812.0481927710844,0.16189244
3826.5060240963858,0.14421782
3840.9638554216867,0.16513737
3855.421686746988,0.15755273
3869.879518072289,0.13508137
3884.3373493975905,0.16975509
3898.7951807228915,0.14321035
3913.253012048193,0.16752633
3927.710843373494,0.14250442
3942.1686746987953,0.16066463
3956.6265060240967,0.15920664
3971.0843373493976,0.16893077
3985.542168674699,0.17525066
4000.0,0.17599729
