compound_name,smiles,wavenumber_cm1,transmittance
ethanol,CCO,3985.54,0.00426
ethanol,CCO,4000.0,0.00426
acetonitrile,CC#N,400.0,0.004778
acetonitrile,CC#N,414.46,0.004778
acetonitrile,CC#N,428.92,0.004778
acetonitrile,CC#N,443.37,0.004778
acetonitrile,CC#N,457.83,0.010935
acetonitrile,CC#N,472.29,0.010755
acetonitrile,CC#N,486.75,0.011788
acetonitrile,CC#N,501.2,0.011761
acetonitrile,CC#N,515.66,0.009334
acetonitrile,CC#N,530.12,0.004014
acetonitrile,CC#N,544.58,0.008705
acetonitrile,CC#N,559.04,0.012547
acetonitrile,CC#N,573.49,0.010925
acetonitrile,CC#N,587.95,0.007958
acetonitrile,CC#N,602.41,0.006354
acetonitrile,CC#N,616.87,0.007382
acetonitrile,CC#N,631.33,0.009176
acetonitrile,CC#N,645.78,0.009762
acetonitrile,CC#N,660.24,0.013408
acetonitrile,CC#N,674.7,0.045879
acetonitrile,CC#N,689.16,0.141874
acetonitrile,CC#N,703.61,0.132752
acetonitrile,CC#N,718.07,0.113169
acetonitrile,CC#N,732.53,0.112891
acetonitrile,CC#N,746.99,0.043932
acetonitrile,CC#N,761.45,0.00747
acetonitrile,CC#N,775.9,0.005331
acetonitrile,CC#N,790.36,0.002741
acetonitrile,CC#N,804.82,0.003106
acetonitrile,CC#N,819.28,0.002563
acetonitrile,CC#N,833.73,0.002599
acetonitrile,CC#N,848.19,0.002595
acetonitrile,CC#N,862.65,0.005241
acetonitrile,CC#N,877.11,0.016488
acetonitrile,CC#N,891.57,0.056635
acetonitrile,CC#N,906.02,0.089424
acetonitrile,CC#N,920.48,0.057202
acetonitrile,CC#N,934.94,0.07087
acetonitrile,CC#N,949.4,0.031511
acetonitrile,CC#N,963.86,0.013963
acetonitrile,CC#N,978.31,0.024343
acetonitrile,CC#N,992.77,0.049167
acetonitrile,CC#N,1007.23,0.076527
acetonitrile,CC#N,1021.69,0.101363
acetonitrile,CC#N,1036.14,0.118142
acetonitrile,CC#N,1050.6,0.115566
acetonitrile,CC#N,1065.06,0.107243
acetonitrile,CC#N,1079.52,0.090245
acetonitrile,CC#N,1093.98,0.068128
acetonitrile,CC#N,1108.43,0.032537
acetonitrile,CC#N,1122.89,0.018348
acetonitrile,CC#N,1137.35,0.009168
acetonitrile,CC#N,1151.81,0.005968
acetonitrile,CC#N,1166.27,0.004372
acetonitrile,CC#N,1180.72,0.002631
acetonitrile,CC#N,1195.18,0.004419
acetonitrile,CC#N,1209.64,0.004977
acetonitrile,CC#N,1224.1,0.008034
acetonitrile,CC#N,1238.55,0.012055
acetonitrile,CC#N,1253.01,0.021085
acetonitrile,CC#N,1267.47,0.026588
acetonitrile,CC#N,1281.93,0.051447
acetonitrile,CC#N,1296.39,0.066235
acetonitrile,CC#N,1310.84,0.086922
acetonitrile,CC#N,1325.3,0.115314
acetonitrile,CC#N,1339.76,0.1762
acetonitrile,CC#N,1354.22,0.175216
acetonitrile,CC#N,1368.67,0.329499
acetonitrile,CC#N,1383.13,0.340338
acetonitrile,CC#N,1397.59,0.537174
acetonitrile,CC#N,1412.05,0.48715
acetonitrile,CC#N,1426.51,0.506471
acetonitrile,CC#N,1440.96,0.391284
acetonitrile,CC#N,1455.42,0.372242
acetonitrile,CC#N,1469.88,0.370179
acetonitrile,CC#N,1484.34,0.441169
acetonitrile,CC#N,1498.8,0.399718
acetonitrile,CC#N,1513.25,0.424975
acetonitrile,CC#N,1527.71,0.337582
acetonitrile,CC#N,1542.17,0.319014
acetonitrile,CC#N,1556.63,0.193525
acetonitrile,CC#N,1571.08,0.163764
acetonitrile,CC#N,1585.54,0.099468
acetonitrile,CC#N,1600.0,0.074662
acetonitrile,CC#N,1614.46,0.063807
acetonitrile,CC#N,1628.92,0.042313
acetonitrile,CC#N,1643.37,0.03372
acetonitrile,CC#N,1657.83,0.023125
acetonitrile,CC#N,1672.29,0.029279
acetonitrile,CC#N,1686.75,0.036027
acetonitrile,CC#N,1701.2,0.038455
acetonitrile,CC#N,1715.66,0.031042
acetonitrile,CC#N,1730.12,0.02332
acetonitrile,CC#N,1744.58,0.025492
acetonitrile,CC#N,1759.04,0.024389
acetonitrile,CC#N,1773.49,0.027721
acetonitrile,CC#N,1787.95,0.019713
acetonitrile,CC#N,1802.41,0.026472
acetonitrile,CC#N,1816.87,0.019003
acetonitrile,CC#N,1831.33,0.022803
acetonitrile,CC#N,1845.78,0.029278
acetonitrile,CC#N,1860.24,0.016171
acetonitrile,CC#N,1874.7,0.013491
acetonitrile,CC#N,1889.16,0.016682
acetonitrile,CC#N,1903.61,0.015156
acetonitrile,CC#N,1918.07,0.015632
acetonitrile,CC#N,1932.53,0.007689
acetonitrile,CC#N,1946.99,0.008089
acetonitrile,CC#N,1961.45,0.006242
acetonitrile,CC#N,1975.9,0.005264
acetonitrile,CC#N,1990.36,0.008228
acetonitrile,CC#N,2004.82,0.004112
acetonitrile,CC#N,2019.28,0.00682
acetonitrile,CC#N,2033.73,0.005406
acetonitrile,CC#N,2048.19,0.009217
acetonitrile,CC#N,2062.65,0.011086
acetonitrile,CC#N,2077.11,0.008604
acetonitrile,CC#N,2091.57,0.010326
acetonitrile,CC#N,2106.02,0.006742
acetonitrile,CC#N,2120.48,0.003242
acetonitrile,CC#N,2134.94,0.001959
acetonitrile,CC#N,2149.4,0.001953
acetonitrile,CC#N,2163.86,0.00122
acetonitrile,CC#N,2178.31,0.00046
acetonitrile,CC#N,2192.77,0.004346
acetonitrile,CC#N,2207.23,0.006015
acetonitrile,CC#N,2221.69,0.016557
acetonitrile,CC#N,2236.14,0.048351
